ultorg,client,year,amt,infl_amt,rank
Real Turf & Putting Greens,Real Turf & Putting Greens,2006,10000.0,11546.39175,3
One Call Concepts,One Call Concepts,2006,40000.0,46185.567,1
One Call Concepts,One Call Concepts,2007,40000.0,44948.4536,3
One Call Concepts,One Call Concepts,2004,40000.0,49072.16496,1
One Call Concepts,One Call Concepts,2005,40000.0,47835.05156,1
One Call Concepts,One Call Concepts,2008,40000.0,43298.96908,2
One Call Concepts,One Call Concepts,2009,40000.0,43298.96908,3
One Call Concepts,One Call Concepts,2011,80000.0,82474.2268,2
One Call Concepts,One Call Concepts,2010,50000.0,53092.7835,3
One Call Concepts,One Call Concepts,2013,40000.0,39215.68628,2
One Call Concepts,One Call Concepts,2012,80000.0,80000.0,2
American Society of Landscape Architects,American Society of Landscape Architects,2006,0.0,0.0,4
American Society of Landscape Architects,American Society of Landscape Architects,2007,120906.0,135863.443274,1
American Society of Landscape Architects,American Society of Landscape Architects,2005,0.0,0.0,2
American Society of Landscape Architects,American Society of Landscape Architects,2008,281767.0,305005.515519,1
American Society of Landscape Architects,American Society of Landscape Architects,2009,152626.0,165213.71137,1
American Society of Landscape Architects,American Society of Landscape Architects,2011,84072.0,86672.1649441,1
American Society of Landscape Architects,American Society of Landscape Architects,2010,110689.0,117535.742257,1
American Society of Landscape Architects,American Society of Landscape Architects,2013,55771.0,54677.450988,1
American Society of Landscape Architects,American Society of Landscape Architects,2012,90031.0,90031.0,1
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2003,0.0,0.0,1
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2006,20000.0,23092.7835,2
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2004,0.0,0.0,2
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2005,0.0,0.0,3
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2008,30000.0,32474.22681,3
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2009,70000.0,75773.19589,2
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2011,60000.0,61855.6701,3
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2010,65000.0,69020.61855,2
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2013,20000.0,19607.84314,3
Professional Lawn Care Assn of America,Professional Lawn Care Assn of America,2012,40000.0,40000.0,3
Professional Landcare Network,Professional Landcare Network,2007,20000.0,22474.2268,4
Green Industry Council,Green Industry Council,2006,0.0,0.0,5
Green Industry Council,Green Industry Council,2007,0.0,0.0,5
Bg Holding,Brickman Group,2008,30000.0,32474.22681,4
Bg Holding,Brickman Group,2007,60000.0,67422.6804,2
